Organization,Program/Office,Category,Service/Agency,Description
OUSD ASD(A),Electronic Warfare,Electronic Warfare,OSD,Platform and Weapon Portfolio Management - Electronic Warfare division
OUSD ASD(A),Cyber Warfare,Cyber/EW,OSD,Platform and Weapon Portfolio Management - Cyber Warfare division
OUSD ASD(A),Command Control Communication Computers (C4) and Missile Defense,C4ISR,OSD,Strategic Space and Intelligence Portfolio Management
OUSD ASD(A),Nuclear Command and Control and Communications,C2,OSD,Strategic communications and nuclear C2
OSD (R&E),Chief Digital and Artificial Intelligence Office (CDAO),AI/Autonomy,OSD,Tradewinds acquisition ecosystem for AI/ML
OSD (R&E) MDA,Integrated Non-Kinetic and Electronic Warfare,Electronic Warfare,OSD,Advanced Capabilities Office - EW integration
OSD (R&E) MDA,Command Control Battle Management Communications (C2BMC),C4ISR,OSD,Decision dominance and C2
OSD (I&S),ISR Enterprise Capabilities,ISR,OSD,Intelligence and Security Programs
OSD (I&S),Battlespace Awareness & Security Programs,ISR,OSD,Intelligence and Security Programs
OSD (I&S),Technical Collection,SIGINT,OSD,Collection and Special Programs
DIU,Artificial Intelligence and Machine Learning (AI/ML),AI/Autonomy,OSD,Defense Innovation Unit technology portfolio
DIU,Autonomy,Autonomy,OSD,Defense Innovation Unit autonomous systems portfolio
DIU,Replicator 2,Autonomy,OSD,Autonomous systems replication program (now reports to SOCOM DAWG)
DIU,Cyber and Telecommunications,Cyber/RF,OSD,Defense Innovation Unit cyber portfolio
DIU,Space,Space/RF,OSD,Defense Innovation Unit space portfolio
DISA,Defense Information Systems Agency,C4ISR,OSD,Information systems and networks
DIA,Directorate for Science & Technology,Intelligence,OSD,Defense Intelligence Agency S&T
DIA,Directorate for Operations,Intelligence,OSD,Defense Intelligence Agency operations
DARPA,Information Innovation Office (I2O),AI/Autonomy/Cyber,DARPA,Information technology and autonomy research
DARPA,Microsystems Technology Office,RF/Electronics,DARPA,Microsystems and RF technology
DARPA,Strategic Technology Office,Multi-domain,DARPA,Strategic technology development
DARPA,Tactical Technology Office,Autonomy/ISR,DARPA,Tactical systems and autonomy
DARPA,Defense Sciences Office,Advanced Tech,DARPA,Foundational science research
Army RCCTO,Cyber Electronic Warfare And Information Dominance,Electronic Warfare,Army,Rapid Capabilities and Critical Technologies Office
Army RCCTO,Selective Propagation APS Radar (SPAR),RF/Radar,Army,Advanced radar systems
Army RCCTO,Directed Energy Project Office,Directed Energy,Army,High energy laser and directed energy
Army G-2,Intelligence Directorate,Intelligence,Army,Army staff intelligence
Army G-2,INSCOM Army Intelligence and Security Command,SIGINT/Intelligence,Army,Army intelligence and security
Army G-2,Army Counterintelligence Command,Intelligence,Army,Counterintelligence operations
Army G-2,Foreign Intelligence Directorate (DAMI-FI),Intelligence,Army,Foreign intelligence collection
Army G-6,Office of Emerging Technology (OET),Emerging Tech,Army,Network and emerging technology
Army G-6,Networks and C4 Services and Integration (NC4SI),C4ISR,Army,Network integration
Army G-6,Cybersecurity Integration and Synchronization (CIS),Cyber,Army,Cybersecurity integration
CPE IEW&S,Capability Program Executive Intelligence Electronic Warfare & Sensor,EW/ISR/SIGINT,Army,Primary Army EW acquisition organization
CPE IEW&S,PM Cyber and Space (PM C&S),Cyber/Space,Army,Cyber and space systems
CPE IEW&S,Information Warfare Cyber Infrastructure (IWCI),Cyber,Army,Information warfare infrastructure
CPE IEW&S,Information Warfare Cyber Development (IWCD),Cyber,Army,Cyber development programs
CPE IEW&S,SAVANT CATALYST (SC),Cyber/AI,Army,Advanced cyber analytics
CPE IEW&S,PM Defensive Cyber Operations (PM DCO),Cyber,Army,Defensive cyber operations
CPE IEW&S,Cyber Analytics and Detection (CAD),Cyber/AI,Army,Cyber analytics platform
CPE IEW&S,Cyber Platforms and Systems (CPS),Cyber,Army,Cyber platforms
CPE IEW&S,PM Electronic Warfare and Cyber (PM EW&C),Electronic Warfare,Army,Primary Army EW program office
CPE IEW&S,Electronic Attack (EA),Electronic Warfare,Army,Electronic attack systems
CPE IEW&S,Electronic Warfare Integration (EWI),Electronic Warfare,Army,EW integration
CPE IEW&S,Strategic Spectrum Warfare (SSW),Spectrum/EW,Army,Strategic spectrum operations
CPE IEW&S,Terrestrial Spectrum Warfare (TSW),Spectrum/EW,Army,Ground-based spectrum warfare
CPE IEW&S,PM Intelligence Systems and Analytics (PM IS&A),Intelligence/AI,Army,Intelligence systems
CPE IEW&S,Data and Analytics,AI/Data,Army,Data analytics for intelligence
CPE IEW&S,Intelligence Systems,ISR,Army,Intelligence collection systems
CPE IEW&S,Project Linchpin,Intelligence,Army,Intelligence integration project
CPE IEW&S,Joint Tactical Terminal (JTT),SIGINT,Army,Tactical SIGINT terminal
CPE IEW&S,PM Positioning Navigation and Timing (PM PNT),PNT/RF,Army,PNT systems
CPE IEW&S,Dismounted PNT,PNT,Army,Soldier PNT systems
CPE IEW&S,PNT Modernization,PNT,Army,PNT modernization programs
CPE IEW&S,PM Sensors Aerial Intelligence (PM SAI),ISR/Sensors,Army,Aerial ISR sensors
CPE IEW&S,Aerial Enhanced Radars Optics and Sensors (AEROS),Radar/Sensors,Army,Aerial sensor systems
CPE IEW&S,Medium Altitude Reconnaissance and Surveillance System (MARSS),ISR,Army,MARSS platform
CPE IEW&S,Multi-Domain Sensing System (MDSS),ISR/Multi-domain,Army,Multi-domain sensing
CPE IEW&S,Tactical Exploitation of National Capabilities (TENCAP),ISR/SIGINT,Army,National-tactical integration
CPE IEW&S,PM Terrestrial Sensors (PM TS),Sensors/RF,Army,Ground sensor systems
CPE IEW&S,Aerostats,ISR/RF,Army,Aerostat sensor platforms
CPE IEW&S,Combat Terrain Information System (CTIS),ISR,Army,Terrain information systems
CPE IEW&S,Force Protection Systems (FPS),Sensors/C-UAS,Army,Force protection sensors
CPE IEW&S,Ground Sensors (GS),Sensors/RF,Army,Ground sensor systems
CPE IEW&S,IEW&S Integration Directorate,Integration,Army,EW/ISR integration
CPE IEW&S,Open Architecture and Standards,Architecture,Army,Open architecture for EW/ISR
CPE IEW&S,Digital Testing and Engineering,Digital Engineering,Army,Digital engineering for EW
CPE IEW&S,Command Control Communications and Network,C4,Army,C4 integration
CPE IEW&S,NGC2,C2,Army,Next generation command and control
PM CT2,PM Cyber Test and Training,Cyber,Army,Cyber training and test systems
PM CT2,Persistent Cyber Training Environment (PCTE),Cyber,Army,Cyber training environment
PM CT2,IEWTPT,EW Training,Army,IEW training platform
PM CT2,Army Threat Systems Program EW,EW Training,Army,EW threat simulation
DEVCOM,C5ISR Center,C5ISR,Army,Command Control Comms Computers Cyber Intel Surveillance Reconnaissance
DEVCOM,Army Research Laboratory (ARL),Research,Army,Foundational research including RF/EW
DEVCOM,Aviation & Missile Center,Aviation/Missiles,Army,Aviation and missile research
Army AFC,Artificial Intelligence Integration Center (AI2C),AI,Army,AI integration center
Army AFC,Intelligence Capability Development Integration Directorate,Intelligence,Army,Intelligence capability development
Army AFC,Cyber Capability Development And Integration Directorate,Cyber,Army,Cyber capability development
Army AFC,Air and Missile Defense Cross-Functional Team,AMD,Army,Air and missile defense modernization
Army AFC,Command and Control Cross-Functional Team,C2,Army,C2 modernization
Army AFC,Army Multi-Domain Targeting Center (AMTC),Multi-domain,Army,Multi-domain targeting
T2COM,Intelligence Center of Excellence (ICoE),Intelligence,Army,Intelligence training and doctrine
T2COM,Cyber Center of Excellence (CSoE),Cyber,Army,Cyber training and doctrine
T2COM,Space and Missile Defense Center of Excellence (SMDCoE),Space/AMD,Army,Space and missile defense training
T2COM,The Army Intelligence Battle Lab (IBL),Intelligence,Army,Intelligence battle lab
G-TEAD,Global Tactical Edge Acquisition Directorate,Acquisition,Army,Tactical edge systems acquisition
G-TEAD,Cyber Directorate,Cyber,Army,Cyber acquisition support
CECOM,Army Communications-Electronics Command,C4ISR,Army,Communications-electronics support
Secretary of the Navy,Navy Rapid Capabilities Office (NRCO),Rapid Acquisition,Navy,Navy rapid capabilities
Secretary of the Navy,PEO Robotic and Autonomous Systems,Autonomy,Navy,Robotic and autonomous systems acquisition
OPNAV,N2/N6 Information Warfare and Director of Naval Intelligence,Information Warfare,Navy,Navy information warfare
OPNAV,N2/N6I Warfighting Integration,Integration,Navy,IW warfighting integration
OPNAV,N2/N6T Strategic Integration,Integration,Navy,Strategic IW integration
OPNAV,N9IZ Robotic Autonomous Systems Group,Autonomy,Navy,Autonomous systems requirements
OPNAV,N9W Digital Warfare Office,Digital Warfare,Navy,Digital warfare requirements
Office of Naval Intelligence,ONI Intelligence Directorate,Intelligence,Navy,Naval intelligence
Office of Naval Intelligence,Farragut Technical Analysis Center,Intelligence,Navy,Technical analysis
Office of Naval Intelligence,Kennedy Maritime Analysis Center,Intelligence,Navy,Maritime intelligence analysis
Office of Naval Intelligence,Hopper Global Communications Center,Communications,Navy,Global communications
NAVIFOR,Navy Information Forces,Information Warfare,Navy,Navy information forces command
NAVIFOR,Naval Information Warfighting Development Center (NIWDC),Information Warfare,Navy,IW development center
